code,l1_name
000001,银行
000002,房地产
000004,计算机
000006,房地产
000007,商贸零售
000008,机械设备
000009,电力设备
000010,建筑装饰
000011,房地产
000012,建筑材料
000014,房地产
000016,家用电器
000017,纺织服饰
000019,农林牧渔
000020,电子
000021,电子
000025,综合
000026,纺织服饰
000027,公用事业
000028,医药生物
000029,房地产
000030,汽车
000031,房地产
000032,建筑装饰
000034,计算机
000035,环保
000036,房地产
000037,公用事业
000039,机械设备
000042,房地产
000045,电子
000048,农林牧渔
000049,电力设备
000050,电子
000055,建筑材料
000056,房地产
000058,商贸零售
000059,石油石化
000060,有色金属
000061,商贸零售
000062,电子
000063,通信
000065,建筑装饰
000066,计算机
000068,环保
000069,房地产
000070,通信
000078,医药生物
000088,交通运输
000089,交通运输
000090,房地产
000096,石油石化
000099,交通运输
000100,电子
000151,商贸零售
000153,医药生物
000155,公用事业
000156,传媒
000157,机械设备
000158,计算机
000159,电力设备
000166,非银金融
000301,石油石化
000333,家用电器
000338,汽车
000400,电力设备
000401,建筑材料
000402,房地产
000403,医药生物
000404,家用电器
000407,公用事业
000408,有色金属
000409,计算机
000410,机械设备
000411,医药生物
000415,非银金融
000417,商贸零售
000419,商贸零售
000420,基础化工
000421,综合
000422,基础化工
000423,医药生物
000425,机械设备
000426,有色金属
000428,社会服务
000429,交通运输
000430,社会服务
000488,轻工制造
000498,建筑装饰
000501,商贸零售
000503,计算机
000504,医药生物
000505,农林牧渔
000506,有色金属
000507,公用事业
000509,电子
000510,基础化工
000513,医药生物
000514,房地产
000516,医药生物
000517,房地产
000518,医药生物
000519,国防军工
000520,交通运输
000521,家用电器
000523,综合
000524,社会服务
000525,基础化工
000526,社会服务
000528,机械设备
000529,食品饮料
000530,机械设备
000531,公用事业
000532,非银金融
000533,电力设备
000534,医药生物
000536,电子
000537,公用事业
000538,医药生物
000539,公用事业
000541,家用电器
000543,公用事业
000544,环保
000545,基础化工
000546,环保
000547,国防军工
000548,交通运输
000550,汽车
000551,环保
000552,煤炭
000553,基础化工
000554,石油石化
000555,计算机
000557,交通运输
000558,社会服务
000559,汽车
000560,房地产
000561,国防军工
000563,非银金融
000564,商贸零售
000565,基础化工
000566,医药生物
000567,非银金融
000568,食品饮料
000570,汽车
000571,煤炭
000572,汽车
000573,房地产
000576,国防军工
000581,汽车
000582,交通运输
000586,通信
000589,汽车
000590,医药生物
000591,公用事业
000592,农林牧渔
000593,公用事业
000595,机械设备
000596,食品饮料
000597,医药生物
000598,环保
000599,汽车
000600,公用事业
000601,公用事业
000603,有色金属
000605,环保
000607,传媒
000608,房地产
000609,房地产
000610,社会服务
000612,有色金属
000615,美容护理
000617,非银金融
000619,建筑材料
000620,房地产
000623,医药生物
000625,汽车
000626,交通运输
000628,建筑装饰
000629,钢铁
000630,有色金属
000631,房地产
000632,综合
000633,有色金属
000635,基础化工
000636,电子
000637,石油石化
000639,食品饮料
000650,医药生物
000651,家用电器
000652,综合
000655,钢铁
000656,房地产
000657,有色金属
000659,轻工制造
000661,医药生物
000663,农林牧渔
000665,传媒
000668,房地产
000669,公用事业
000670,电子
000672,建筑材料
000676,传媒
000677,基础化工
000678,汽车
000679,商贸零售
000680,机械设备
000681,传媒
000682,电力设备
000683,基础化工
000685,环保
000686,非银金融
000688,有色金属
000690,公用事业
000691,基础化工
000692,公用事业
000695,电力设备
000697,国防军工
000698,石油石化
000700,汽车
000701,汽车
000702,农林牧渔
000703,石油石化
000705,医药生物
000707,基础化工
000708,钢铁
000709,钢铁
000710,医药生物
000711,环保
000712,非银金融
000713,农林牧渔
000715,商贸零售
000716,食品饮料
000717,钢铁
000718,房地产
000719,传媒
000720,电力设备
000721,社会服务
000722,公用事业
000723,煤炭
000725,电子
000726,纺织服饰
000727,电子
000728,非银金融
000729,食品饮料
000731,基础化工
000733,国防军工
000735,农林牧渔
000736,房地产
000737,有色金属
000738,国防军工
000739,医药生物
000750,非银金融
000751,有色金属
000752,食品饮料
000753,综合
000755,交通运输
000756,医药生物
000757,汽车
000758,有色金属
000759,商贸零售
000761,钢铁
000762,有色金属
000766,医药生物
000767,公用事业
000768,国防军工
000776,非银金融
000777,机械设备
000778,钢铁
000779,建筑装饰
000782,基础化工
000783,非银金融
000785,商贸零售
000786,建筑材料
000788,医药生物
000789,建筑材料
000790,医药生物
000791,公用事业
000792,基础化工
000793,传媒
000795,有色金属
000796,社会服务
000797,房地产
000798,农林牧渔
000799,食品饮料
000800,汽车
000801,家用电器
000802,传媒
000803,环保
000807,有色金属
000809,房地产
000810,家用电器
000811,机械设备
000812,轻工制造
000813,医药生物
000815,计算机
000816,汽车
000818,基础化工
000819,石油石化
000820,环保
000821,电力设备
000822,基础化工
000823,电子
000825,钢铁
000826,环保
000828,交通运输
000829,商贸零售
000830,基础化工
000831,有色金属
000833,综合
000837,机械设备
000838,房地产
000839,通信
000848,食品饮料
000850,纺织服饰
000852,机械设备
000856,机械设备
000858,食品饮料
000859,基础化工
000860,食品饮料
000862,公用事业
000863,房地产
000868,汽车
000869,食品饮料
000875,公用事业
000876,农林牧渔
000877,建筑材料
000878,有色金属
000880,汽车
000881,基础化工
000882,商贸零售
000883,公用事业
000885,环保
000886,交通运输
000887,汽车
000888,社会服务
000889,通信
000890,环保
000892,传媒
000893,基础化工
000895,食品饮料
000897,房地产
000898,钢铁
000899,公用事业
000900,交通运输
000901,汽车
000902,基础化工
000903,汽车
000905,交通运输
000906,交通运输
000908,医药生物
000909,房地产
000910,轻工制造
000911,农林牧渔
000912,基础化工
000913,汽车
000915,医药生物
000917,传媒
000919,医药生物
000920,基础化工
000921,家用电器
000922,电力设备
000923,钢铁
000925,机械设备
000926,房地产
000927,机械设备
000928,建筑装饰
000929,食品饮料
000930,农林牧渔
000931,医药生物
000932,钢铁
000933,有色金属
000935,非银金融
000936,基础化工
000937,煤炭
000938,计算机
000948,计算机
000949,基础化工
000950,医药生物
000951,汽车
000952,医药生物
000953,医药生物
000955,纺织服饰
000957,汽车
000958,非银金融
000959,钢铁
000960,有色金属
000962,有色金属
000963,医药生物
000965,房地产
000966,公用事业
000967,环保
000968,石油石化
000969,有色金属
000970,有色金属
000972,农林牧渔
000973,基础化工
000975,有色金属
000977,计算机
000978,社会服务
000980,汽车
000981,汽车
000983,煤炭
000985,石油石化
000987,非银金融
000988,机械设备
000989,医药生物
000990,基础化工
000991,电子
000993,公用事业
000995,食品饮料
000997,计算机
000998,农林牧渔
000999,医药生物
001201,农林牧渔
001202,交通运输
001203,钢铁
001205,交通运输
001206,美容护理
001207,基础化工
001208,电力设备
001209,纺织服饰
001210,公用事业
001211,轻工制造
001212,建筑材料
001213,交通运输
001215,食品饮料
001216,轻工制造
001217,基础化工
001218,基础化工
001219,食品饮料
001220,交通运输
001221,轻工制造
001222,轻工制造
001223,机械设备
001225,机械设备
001226,机械设备
001227,银行
001228,交通运输
001229,计算机
001230,环保
001231,基础化工
001233,汽车
001234,纺织服饰
001235,电力设备
001236,非银金融
001237,机械设备
001238,轻工制造
001239,机械设备
001255,基础化工
001256,机械设备
001257,有色金属
001258,公用事业
001259,家用电器
001260,汽车
001266,机械设备
001267,建筑装饰
001268,家用电器
001269,电力设备
001270,国防军工
001277,机械设备
001278,汽车
001279,轻工制造
001280,有色金属
001282,汽车
001283,电力设备
001285,汽车
001286,公用事业
001287,电子
001288,机械设备
001289,公用事业
001296,基础化工
001298,电子
001299,公用事业
001300,轻工制造
001301,电力设备
001306,机械设备
001308,电子
001309,电子
001311,汽车
001312,纺织服饰
001313,农林牧渔
001314,电子
001316,石油石化
001317,交通运输
001318,食品饮料
001319,汽车
001322,轻工制造
001323,轻工制造
001324,机械设备
001325,基础化工
001326,家用电器
001328,美容护理
001330,传媒
001331,公用事业
001332,机械设备
001333,基础化工
001335,基础化工
001336,环保
001337,有色金属
001338,农林牧渔
001339,计算机
001356,轻工制造
001358,基础化工
001359,基础化工
001360,机械设备
001365,汽车
001366,农林牧渔
001367,医药生物
001368,轻工制造
001369,基础化工
001373,电子
001376,公用事业
001378,基础化工
001379,机械设备
001380,汽车
001382,电力设备
001386,轻工制造
001387,家用电器
001388,电力设备
001389,电子
001390,纺织服饰
001391,交通运输
001393,电力设备
001395,机械设备
001396,建筑装饰
001400,机械设备
001696,机械设备
001872,交通运输
001896,公用事业
001914,房地产
001965,交通运输
001979,房地产
002001,基础化工
002003,纺织服饰
002004,医药生物
002005,家用电器
002006,机械设备
002007,医药生物
002008,机械设备
002009,机械设备
002010,交通运输
002011,家用电器
002012,轻工制造
002014,轻工制造
002015,公用事业
002016,房地产
002017,通信
002019,医药生物
002020,医药生物
002021,机械设备
002022,医药生物
002023,国防军工
002024,商贸零售
002025,国防军工
002026,机械设备
002027,传媒
002028,电力设备
002029,纺织服饰
002030,医药生物
002031,机械设备
002032,家用电器
002033,社会服务
002034,环保
002035,家用电器
002036,电子
002037,基础化工
002038,医药生物
002039,公用事业
002040,交通运输
002041,农林牧渔
002042,纺织服饰
002043,建筑材料
002044,医药生物
002045,电子
002046,机械设备
002047,建筑装饰
002048,汽车
002049,电子
002050,家用电器
002051,建筑装饰
002052,家用电器
002053,公用事业
002054,基础化工
002055,电子
002056,电力设备
002057,社会服务
002058,机械设备
002059,社会服务
002060,公用事业
002061,建筑装饰
002062,建筑装饰
002063,计算机
002064,基础化工
002065,计算机
002066,建筑材料
002067,轻工制造
002068,基础化工
002069,农林牧渔
002072,商贸零售
002073,机械设备
002074,电力设备
002075,钢铁
002076,家用电器
002077,电子
002078,轻工制造
002079,电力设备
002080,建筑材料
002081,建筑装饰
002082,医药生物
002083,纺织服饰
002084,轻工制造
002085,汽车
002086,医药生物
002088,建筑材料
002090,电力设备
002091,商贸零售
002092,基础化工
002093,社会服务
002094,美容护理
002095,传媒
002096,基础化工
002097,机械设备
002098,纺织服饰
002099,医药生物
002100,农林牧渔
002101,汽车
002102,医药生物
002103,轻工制造
002104,通信
002105,汽车
002106,电子
002107,医药生物
002108,基础化工
002109,基础化工
002110,钢铁
002111,国防军工
002112,电力设备
002114,有色金属
002115,通信
002116,建筑装饰
002117,轻工制造
002119,电子
002120,交通运输
002121,电力设备
002122,机械设备
002123,通信
002124,农林牧渔
002125,电力设备
002126,汽车
002127,商贸零售
002128,煤炭
002129,电力设备
002130,电子
002131,机械设备
002132,机械设备
002133,房地产
002134,电子
002135,建筑装饰
002136,基础化工
002137,电子
002138,电子
002139,电子
002140,建筑装饰
002141,农林牧渔
002142,银行
002144,纺织服饰
002145,基础化工
002146,房地产
002148,通信
002149,有色金属
002150,机械设备
002151,国防军工
002152,计算机
002153,计算机
002154,纺织服饰
002155,有色金属
002156,电子
002157,农林牧渔
002158,机械设备
002159,社会服务
002160,有色金属
002161,电子
002162,轻工制造
002163,建筑装饰
002164,机械设备
002165,基础化工
002166,基础化工
002167,有色金属
002168,电力设备
002169,电力设备
002170,基础化工
002171,有色金属
002172,医药生物
002173,医药生物
002174,传媒
002175,机械设备
002176,电力设备
002177,计算机
002178,计算机
002179,国防军工
002180,计算机
002181,传媒
002182,有色金属
002183,商贸零售
002184,机械设备
002185,电子
002186,社会服务
002187,商贸零售
002188,房地产
002189,国防军工
002190,汽车
002191,轻工制造
002192,有色金属
002193,纺织服饰
002194,通信
002195,计算机
002196,电力设备
002197,计算机
002198,医药生物
002199,电子
002200,建筑装饰
002201,建筑材料
002202,电力设备
002203,有色金属
002204,机械设备
002205,建筑材料
002206,基础化工
002207,石油石化
002208,房地产
002209,机械设备
002210,环保
002211,基础化工
002212,计算机
002213,电子
002214,国防军工
002215,农林牧渔
002216,食品饮料
002217,电子
002218,公用事业
002219,医药生物
002221,石油石化
002222,电子
002223,医药生物
002224,基础化工
002225,建筑材料
002226,基础化工
002227,电力设备
002228,轻工制造
002229,轻工制造
002230,计算机
002232,计算机
002233,建筑材料
002234,农林牧渔
002235,轻工制造
002236,计算机
002237,有色金属
002238,传媒
002239,汽车
002240,有色金属
002241,电子
002242,家用电器
002243,社会服务
002244,房地产
002245,电力设备
002246,基础化工
002247,建筑材料
002248,机械设备
002249,电力设备
002250,基础化工
002251,商贸零售
002252,医药生物
002253,计算机
002254,基础化工
002255,电力设备
002256,公用事业
002257,电子
002258,基础化工
002259,公用事业
002261,计算机
002262,医药生物
002263,基础化工
002264,传媒
002265,汽车
002266,环保
002267,公用事业
002268,计算机
002269,纺织服饰
002270,电力设备
002271,建筑材料
002272,机械设备
002273,电子
002274,基础化工
002275,医药生物
002276,电力设备
002277,商贸零售
002278,机械设备
002279,计算机
002281,通信
002282,机械设备
002283,汽车
002284,汽车
002285,房地产
002286,农林牧渔
002287,医药生物
002289,电子
002290,家用电器
002291,传媒
002292,传媒
002293,纺织服饰
002294,医药生物
002295,有色金属
002296,通信
002297,国防军工
002298,计算机
002299,农林牧渔
002300,电力设备
002301,轻工制造
002302,建筑材料
002303,轻工制造
002304,食品饮料
002305,房地产
002306,社会服务
002307,建筑装饰
002309,电力设备
002310,建筑装饰
002311,农林牧渔
002312,基础化工
002313,通信
002314,房地产
002315,商贸零售
002316,非银金融
002317,医药生物
002318,钢铁
002319,基础化工
002320,交通运输
002321,农林牧渔
002322,计算机
002323,建筑装饰
002324,基础化工
002326,基础化工
002327,纺织服饰
002328,汽车
002329,食品饮料
002330,食品饮料
002331,计算机
002332,医药生物
002333,建筑材料
002334,机械设备
002335,电力设备
002337,机械设备
002338,国防军工
002339,电力设备
002340,电力设备
002342,机械设备
002343,传媒
002344,商贸零售
002345,纺织服饰
002346,电力设备
002347,机械设备
002348,轻工制造
002349,医药生物
002350,电力设备
002351,电子
002352,交通运输
002353,机械设备
002354,传媒
002355,汽车
002356,商贸零售
002357,交通运输
002358,电力设备
002360,基础化工
002361,基础化工
002362,计算机
002363,汽车
002364,电力设备
002365,医药生物
002366,电力设备
002367,机械设备
002368,计算机
002369,电子
002370,医药生物
002371,电子
002372,建筑材料
002373,计算机
002374,轻工制造
002375,建筑装饰
002376,计算机
002377,石油石化
002378,有色金属
002379,有色金属
002380,计算机
002381,基础化工
002382,医药生物
002383,国防军工
002384,电子
002385,农林牧渔
002386,基础化工
002387,电子
002388,电子
002389,国防军工
002390,医药生物
002391,基础化工
002392,建筑材料
002393,医药生物
002394,纺织服饰
002395,基础化工
002396,通信
002397,纺织服饰
002398,建筑材料
002399,医药生物
002400,传媒
002401,计算机
002402,电子
002403,家用电器
002404,纺织服饰
002405,计算机
002406,汽车
002407,基础化工
002408,石油石化
002409,电子
002410,计算机
002412,医药生物
002413,国防军工
002414,国防军工
002415,计算机
002416,商贸零售
002418,家用电器
002419,商贸零售
002420,家用电器
002421,计算机
002422,医药生物
002423,非银金融
002424,医药生物
002425,传媒
002426,电子
002427,基础化工
002428,有色金属
002429,家用电器
002430,基础化工
002431,建筑装饰
002432,医药生物
002434,汽车
002436,电子
002437,医药生物
002438,机械设备
002439,计算机
002440,基础化工
002441,电力设备
002442,基础化工
002443,钢铁
002444,机械设备
002445,机械设备
002446,国防军工
002448,汽车
002449,电子
002451,电力设备
002452,电力设备
002453,基础化工
002454,汽车
002455,基础化工
002456,电子
002457,建筑材料
002458,农林牧渔
002459,电力设备
002460,有色金属
002461,食品饮料
002462,医药生物
002463,电子
002465,国防军工
002466,有色金属
002467,通信
002468,交通运输
002469,建筑装饰
002470,基础化工
002471,电力设备
002472,汽车
002474,计算机
002475,电子
002476,石油石化
002478,钢铁
002479,公用事业
002480,公用事业
002481,农林牧渔
002482,建筑装饰
002483,机械设备
002484,电子
002485,交通运输
002486,纺织服饰
002487,电力设备
002488,汽车
002489,轻工制造
002490,机械设备
002491,通信
002492,交通运输
002493,石油石化
002494,纺织服饰
002495,食品饮料
002496,基础化工
002497,基础化工
002498,电力设备
002500,非银金融
002501,有色金属
002506,电力设备
002507,食品饮料
002508,家用电器
002510,汽车
002511,美容护理
002512,计算机
002513,基础化工
002514,机械设备
002515,食品饮料
002516,汽车
002517,传媒
002518,电力设备
002519,国防军工
002520,机械设备
002521,轻工制造
002522,基础化工
002523,机械设备
002524,医药生物
002525,食品饮料
002526,机械设备
002527,机械设备
002528,计算机
002529,机械设备
002530,机械设备
002531,电力设备
002532,有色金属
002533,电力设备
002534,电力设备
002535,机械设备
002536,汽车
002537,汽车
002538,基础化工
002539,基础化工
002540,有色金属
002541,建筑装饰
002542,建筑装饰
002543,家用电器
002544,通信
002545,基础化工
002546,电力设备
002547,汽车
002548,农林牧渔
002549,基础化工
002550,医药生物
002551,医药生物
002552,机械设备
002553,汽车
002554,石油石化
002555,传媒
002556,农林牧渔
002557,食品饮料
002558,传媒
002559,机械设备
002560,电力设备
002561,商贸零售
002562,基础化工
002563,纺织服饰
002564,建筑装饰
002565,轻工制造
002566,医药生物
002567,农林牧渔
002568,食品饮料
002569,纺织服饰
002570,食品饮料
002571,轻工制造
002572,轻工制造
002573,环保
002574,纺织服饰
002575,轻工制造
002576,电力设备
002577,计算机
002578,有色金属
002579,电子
002580,电力设备
002581,医药生物
002582,食品饮料
002583,通信
002584,电子
002585,基础化工
002586,建筑装饰
002587,电子
002588,基础化工
002589,医药生物
002590,汽车
002591,基础化工
002592,汽车
002593,建筑装饰
002594,汽车
002595,机械设备
002596,建筑材料
002597,基础化工
002598,机械设备
002599,轻工制造
002600,电子
002601,基础化工
002602,传媒
002603,医药生物
002605,传媒
002606,电力设备
002607,社会服务
002608,公用事业
002609,计算机
002611,机械设备
002612,纺织服饰
002613,建筑材料
002614,家用电器
002615,轻工制造
002616,公用事业
002617,公用事业
002620,建筑装饰
002622,医药生物
002623,电力设备
002624,传媒
002625,国防军工
002626,食品饮料
002627,社会服务
002628,建筑装饰
002629,石油石化
002630,电力设备
002631,轻工制造
002632,基础化工
002633,机械设备
002634,纺织服饰
002635,电子
002636,电子
002637,基础化工
002638,家用电器
002639,机械设备
002640,商贸零售
002641,建筑材料
002642,计算机
002643,电子
002644,医药生物
002645,环保
002646,食品饮料
002647,非银金融
002648,基础化工
002649,计算机
002650,食品饮料
002651,国防军工
002652,建筑材料
002653,医药生物
002654,电子
002655,电子
002656,纺织服饰
002657,计算机
002658,环保
002659,社会服务
002660,电子
002661,食品饮料
002662,汽车
002663,建筑装饰
002664,汽车
002666,基础化工
002667,机械设备
002668,家用电器
002669,基础化工
002670,非银金融
002671,建筑材料
002672,环保
002673,非银金融
002674,纺织服饰
002675,医药生物
002676,家用电器
002677,家用电器
002678,轻工制造
002679,农林牧渔
002681,电子
002682,交通运输
002683,基础化工
002685,机械设备
002686,机械设备
002687,纺织服饰
002688,农林牧渔
002689,机械设备
002690,机械设备
002691,机械设备
002692,电力设备
002693,医药生物
002694,建筑材料
002695,食品饮料
002696,农林牧渔
002697,商贸零售
002698,机械设备
